T,10432
H,7315
E,14007
R,7390
A,8462
G,2441
D,4737
Y,2765
O,9598
F,2448
K,1285
I,7034
N,7228
L,5303
B,1661
W,2724
M,3386
S,7301
P,1646
C,2464
U,3857
V,1112
J,94
X,152
Q,69
Z,27
