a,94145
b,21425
c,30496
d,49619
e,143340
f,27021
g,28204
h,73067
i,82513
j,2412
k,12201
l,55536
m,31897
n,81158
o,92747
p,22886
q,1343
r,71010
s,77686
t,101693
u,33792
v,9868
w,26432
x,1464
y,24585
z,1079
