E,117218
N,69616
I,51903
R,51134
A,45112
S,43642
T,41316
H,37100
D,33835
U,31502
L,24571
C,24430
G,20758
M,19283
O,17079
B,13382
W,12433
F,11761
Z,7861
K,7736
P,5931
V,5675
J,1265
Q,444
Y,401
X,154
